,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type,hrefs,Page #,Departure,Return,Year,Country,Raw Costs
36,"Oct. 7, 2023 - Oct. 13, 2023",Jack Lincoln,Ken Calvert,R,CA-41,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027177.pdf,3,"Oct. 7, 2023 "," Oct. 13, 2023",2023,South Korea,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
37,"Oct. 7, 2023 - Oct. 13, 2023",James Dolbow,Austin Scott,R,GA-8,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027205.pdf,3,"Oct. 7, 2023 "," Oct. 13, 2023",2023,South Korea,")

$220 per person for a charter bus
$3,000 per person for round-trip
flight from Washington. DC -
Seoul, South Korea

$230pp per night
$1,150pp total for 5
nights

$355pp total

Accompanying
"
38,"Oct. 7, 2023 - Oct. 13, 2023",Mary Croghan,Jim Jordan,R,OH-4,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027183.pdf,3,"Oct. 7, 2023 "," Oct. 13, 2023",2023,South Korea,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
39,"Oct. 3, 2023 - Oct. 13, 2023",Maura Weaver,Melanie Stansbury,D,NM-1,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027185.pdf,3,"Oct. 3, 2023 "," Oct. 13, 2023",2023,South Korea,")

Traveler .

$3000 per person forounc-p, | S230PP per night — | $355pp total N/A

flight from Washington, DC - $1 .150pp total for 5

Seoul, South Korea .

nights

Accompanying
"
40,"Oct. 8, 2023 - Oct. 12, 2023",Brendan Larkin,Paul Tonko,D,NY-20,France,Foundation for Nuclear Studies,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027181.pdf,3,"Oct. 8, 2023 "," Oct. 12, 2023",2023,France,Error making sandwich
41,"Oct. 8, 2023 - Oct. 12, 2023",Elise Krekorian,Cathy McMorris Rodgers,R,WA-5,France,Foundation for Nuclear Studies,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027195.pdf,4,"Oct. 8, 2023 "," Oct. 12, 2023",2023,France,")
Traveler $3060 $818 $322 $372 Lodging and

meals for bus drivers,
tours, tips, banquet

Accompanying | \y/A N/A N/A N/A
"
42,"Oct. 8, 2023 - Oct. 12, 2023",Hillary O'Brien,Frank D. Lucas,R,OK-3,France,Foundation for Nuclear Studies,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027196.pdf,4,"Oct. 8, 2023 "," Oct. 12, 2023",2023,France,")

Traveler $3060 $818 $322 $372 Lodging and
meals for bus drivers,
tours, tips, banquet

Accompanying | \/A N/A N/A N/A
"
43,"Oct. 6, 2023 - Oct. 12, 2023",Kristopher Pittard,Frank Pallone,D,NJ-6,France,Foundation for Nuclear Studies,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027197.pdf,4,"Oct. 6, 2023 "," Oct. 12, 2023",2023,France,")

Traveler $3060 $818 $322 $372 Lodging and
meals for bus drivers,
tours, tips, banquet

Accompanying | \/A N/A N/A N/A
"
44,"Oct. 4, 2023 - Oct. 11, 2023",Tim Walberg,Tim Walberg,R,MI-5,Uganda,Fellowship Foundation (d.b.a. International,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027190.pdf,4,"Oct. 4, 2023 "," Oct. 11, 2023",2023,Uganda,Error making sandwich
45,"Sept. 1, 2023 - Sept. 10, 2023",Valerie Foushee,Valerie Foushee,D,NC-4,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027132.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")
Traveler $17,610.21 $1,911.70 $1,430.13 $4,651.21
Accompanying 1$17,610.21 $1,911.70 $1,430.13 $4,651.21
"
46,"Sept. 1, 2023 - Sept. 10, 2023","Troy A. Carter, Sr.",Troy Carter,D,LA-2,Rwanda,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027149.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Rwanda,Error making sandwich
47,"Sept. 1, 2023 - Sept. 10, 2023",Sheila Cherfilus-McCormick,Sheila Cherfilus-McCormick,D,FL-20,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027111.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")
Traveler $19,590.91 $1,513.23 $1,430.13 $4,651.21
Accompanying /$19,590.91 $1,513.23 $1,430.13 $4,651.21
"
48,"Sept. 1, 2023 - Sept. 10, 2023",Lucy McBath,Lucy McBath,D,GA-7,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027117.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")
Traveler $17,810.21 $1,692.70 $1,430.13 $4,651.21
Accompanying |$17,526.23 $1,692.70 $1,430.13 $4,651.21
"
49,"Sept. 1, 2023 - Sept. 10, 2023",Alma S. Adams,Alma Adams,D,NC-12,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027137.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")

$20,210.91 $1,911.70 $1,430.13 $4,651.21

Accompanying $19,528.71 $1,911.70
"
50,"Sept. 1, 2023 - Sept. 10, 2023",Nikema Williams,Nikema Williams,D,GA-5,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027141.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")
Traveler $17,810.21 $1,911.70 $1,430.13 $4,651.21
Accompanying /$17,810.21 $1,911.70 $1,430.13 $4,651.21
"
51,"Sept. 1, 2023 - Sept. 10, 2023",Glenn Ivey,Glenn Ivey,D,MD-4,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027125.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")
Traveler $19,290.21 $1,911.70 $1,430.13 $4,651.21
Accompanying 1$16,840.21 $1,911.70 $1,430.13 $4,651.21
"
52,"Sept. 6, 2023 - Sept. 10, 2023",Jim Costa,Jim Costa,D,CA-21,Ukraine,Yalta European Strategy Limited,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027126.pdf,4,"Sept. 6, 2023 "," Sept. 10, 2023",2023,Ukraine,")
Traveler 16 403 USD 809 USD 61 USD 376 USD -
conference
participation
Accompanying
"
53,"Sept. 1, 2023 - Sept. 10, 2023",Jonathan L. Jackson,Jonathan Jackson,D,IL-1,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027127.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")
Traveler $19,290.21 $3,221.80 $1,430.13 $4,651.21
Accompanying
"
54,"Sept. 1, 2023 - Sept. 10, 2023",Ritchie Torres,Ritchie Torres,D,NY-15,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027129.pdf,4,"Sept. 1, 2023 "," Sept. 10, 2023",2023,Israel,")
Traveler $16,975.61 $3,221.80 $1,430.13 $4,651.21
Accompanying
"
55,"Sept. 5, 2023 - Sept. 8, 2023","William M. ""Bill"" Christian",Randy Weber,R,TX-14,France,Organization of Iranian American Communities (OIAC),Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027089.pdf,4,"Sept. 5, 2023 "," Sept. 8, 2023",2023,France,Error making sandwich
56,"Sept. 5, 2023 - Sept. 8, 2023","Randy Weber, Sr.",Randy Weber,R,TX-14,France,Organization of Iranian American Communities (OIAC),Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027068.pdf,4,"Sept. 5, 2023 "," Sept. 8, 2023",2023,France,")

oe . mn PE

Accompanying |N/A
"
57,"Aug. 26, 2023 - Sept. 5, 2023",Chellie Pingree,Chellie Pingree,D,ME-1,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027093.pdf,5,"Aug. 26, 2023 "," Sept. 5, 2023",2023,Norway,")
Traveler $1,075 $280 $692: AV, meeting
$4,411 (See Appendix) | (See Appendix) | rooms, conference
services
Accompanying
"
58,"Aug. 25, 2023 - Sept. 4, 2023",Mark Pocan,Mark Pocan,D,WI-2,Nepal,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE), and Humanity",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027100.pdf,5,"Aug. 25, 2023 "," Sept. 4, 2023",2023,Nepal,Error making sandwich
59,"Aug. 26, 2023 - Sept. 4, 2023",Earl Blumenauer,Earl Blumenauer,D,OR-3,Norway,Aspen Institute Inc.,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027123.pdf,5,"Aug. 26, 2023 "," Sept. 4, 2023",2023,Norway,Error making sandwich
60,"Aug. 25, 2023 - Sept. 3, 2023",Susan Wild,Susan Wild,D,PA-7,Nepal,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE), and Humanity",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027107.pdf,5,"Aug. 25, 2023 "," Sept. 3, 2023",2023,Nepal,Error making sandwich
61,"Aug. 24, 2023 - Sept. 3, 2023",John Sarbanes,John Sarbanes,D,MD-3,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027071.pdf,5,"Aug. 24, 2023 "," Sept. 3, 2023",2023,Norway,Error making sandwich
62,"Aug. 27, 2023 - Sept. 2, 2023",Alec Daman,Bill Huizenga,R,MI-4,Lithuania,"Atlantic Council of the United States, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027086.pdf,5,"Aug. 27, 2023 "," Sept. 2, 2023",2023,Lithuania,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
63,"Aug. 27, 2023 - Sept. 2, 2023",Monique Bolsajian,Ted Lieu,D,CA-36,Lithuania,"Atlantic Council of the United States, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027088.pdf,5,"Aug. 27, 2023 "," Sept. 2, 2023",2023,Lithuania,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
64,"Aug. 26, 2023 - Sept. 2, 2023",Sebastian Wigley,Young Kim,R,CA-40,"Armenia,",International Committee of the Red Cross,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027106.pdf,5,"Aug. 26, 2023 "," Sept. 2, 2023",2023,Armenia,")
Traveler
See attachment
(Expenses)
Accompanying
"
65,"Aug. 27, 2023 - Sept. 2, 2023",Victoria Rivas,Pete Aguilar,D,CA-33,Lithuania,"Atlantic Council of the United States, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027108.pdf,5,"Aug. 27, 2023 "," Sept. 2, 2023",2023,Lithuania,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
66,"Aug. 25, 2023 - Sept. 2, 2023",Daniel T. Kildee,Dan Kildee,D,MI-8,Nepal,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE), and Humanity",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027049.pdf,5,"Aug. 25, 2023 "," Sept. 2, 2023",2023,Nepal,Error making sandwich
67,"Aug. 26, 2023 - Sept. 2, 2023",Deborah Ross,Deborah Ross,D,NC-2,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500027063.pdf,5,"Aug. 26, 2023 "," Sept. 2, 2023",2023,Norway,Error making sandwich
68,"Aug. 27, 2023 - Sept. 2, 2023",Jordan Dickinson,Dan Kildee,D,MI-8,Lithuania,"Atlantic Council of the United States, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027051.pdf,5,"Aug. 27, 2023 "," Sept. 2, 2023",2023,Lithuania,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying NA N/A N/A Qexeupation and Freedom
"
69,"Aug. 27, 2023 - Sept. 2, 2023",James Dolbow,Austin Scott,R,GA-8,Lithuania,"Council of the United States, Inc.",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500027064.pdf,5,"Aug. 27, 2023 "," Sept. 2, 2023",2023,Lithuania,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour
Private transportation
$8.26 Museum of
Accompanying NIA N/A Qpcupation and Freedom
"
