,row,cost
103,243,")

Traveler $2387.05 $573.48 $570.68 $8.19 Warsaw Uprising
Museum tour

Private transportation
$8.26 Museum of
Accompanying |N/A N/A N/A Qexupation and Freedom
"
104,244,Error making sandwich
105,245,Error making sandwich
106,247,")
Traveler
See attachment
(Expenses)
Accompanying

"
107,248,")
Traveler
See attachment
(Expenses)
Accompanying

"
108,250,")
Traveler $10,033 $1,075 $280 $692: AV, meeting
(See Appendix) | (See Appendix) | rooms, conference
services
Accompanying : ;
"
109,251,Error making sandwich
110,252,Error making sandwich
111,253,")
Traveler $1,075 $280 $692: AV, meeting
$5,516 (See Appendix) | (See Appendix) | rooms, conference
services
"
112,254,")

$1,075 $280 $692: AV, meeting

(See Appendix) | (See Appendix) | rooms, conference
services

Accompanying
"
113,255,")
Traveler $4,070 $1,075 $280 $692: AV, meeting
(See Appendix) | (See Appendix) | rooms, conference
services
Accompanying $4,070 $280 $692: AV, meeting
"
114,256,")
Traveler $8,036 $1,075 $280 $692: AV, meeting
(See Appendix) | (See Appendix) | rooms, conference
services
Accompanying | ¢5 673 $280 | $692: AV, meeting
"
115,257,")
Traveler $6,828 $1,075 $280 $692: AV, meeting
(See Appendix) | (See Appendix) | rooms, conference
services
Accompanying | 96 gog $280 | $692: AV, meeting
"
116,258,")
Traveler $8,883 $1,075 $280 $692: AV, meeting
(See Appendix) | (See Appendix) | rooms, conference
services
Accompanying $8,883 $280 $692: AV, meeting
"
117,259,Error making sandwich
118,260,Error making sandwich
119,261,Error making sandwich
120,262,")
Traveler $1,075 $280 $692: AV, meeting
$8,777 (See Appendix) | (See Appendix) | rooms, conference
services
Accompanying

"
121,263,")
Traveler $2387.05 $423 $453.43 $8.26 Museum of
Occupation and Freedom
Fights tour
$246 Private bus transport
Accompanying |N/A N/A N/A N/A
"
122,264,")
Traveler $2387.05 $423 $453.43 $8.26 Museum of
Occupation and Freedom
Fights tour
$246 Private bus transport
Accompanying |N/A N/A N/A N/A
"
123,265,")
Traveler $1,075 $280 $692: AV, meeting
$6,990 (See Appendix) | (See Appendix) | rooms, conference
services
Accompanying

"
124,266,Error making sandwich
125,267,Error making sandwich
126,279,")
Traveler
See attachment
(Expenses)
Accompanying

"
127,282,")

Traveler

$645 (See
Appendix)* reflects
only Oslo lodging costs

Accompanying
"
128,285,Error making sandwich
129,286,Error making sandwich
130,287,Error making sandwich
131,288,")

$789 (security)

Accompanying
"
132,289,")

$789 (security)

Accompanying
"
133,290,")

$789 (security)

Accompanying
"
134,291,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
135,292,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
136,293,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
137,294,Error making sandwich
138,295,Error making sandwich
139,297,")

$789 (security)

Accompanying
"
140,299,")

$789 (security)

Accompanying
"
141,304,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
142,305,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
143,306,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
144,307,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
145,308,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
146,309,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
147,310,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
148,311,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
149,312,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
150,313,")

Traveler

$4,356 $1,316 $576 $789 (security)

Accompanying
"
151,314,")
158.49 Translation - $139.71
Visa - $10,38

Airport VIP Services -
$151.59

Accompanying
"
152,318,")

Traveler 2588.55 723.48 158.49 Translation - $139.71
Visa - $10.38

Airport VIP Services -
$151.59

Accompanying
"
153,319,")

Traveler 2588.55 723.48 158.49 Translation - $139.71
Visa - $10.38

Airport VIP Services -
$151.59

Accompanying
"
154,320,")

$789 (security)

Accompanying
"
155,321,")

$789 (security)

Accompanying
"
156,322,")

$789 (security)

Accompanying
"
157,323,")

$789 (security)

Accompanying
"
158,324,")

$789 (security)

Accompanying
"
159,325,")

Traveler 2588.55 723.48 158.49 Translation - $139.71
Visa - $10.38

Airport VIP Services -
$151.59

Accompanying
"
160,326,")

Traveler 2588.55 723.48 158.49 Translation - $139.71
Visa - $10.38

Airport VIP Services -
$151.59

Accompanying
"
161,328,")

Traveler 2588.55 723.48 158.49 Translation - $139.71
Visa - $10.38

Airport VIP Services -
$151.59

Accompanying
"
162,336,")
$1888.75 $402.20 $450
Traveler
Accompanying
"
163,337,")
$1888.75 $402.20 $450
Traveler
Accompanying
"
164,342,")

Traveler 2588.55 723.48 158.49 Translation - $139.71
Visa - $10.38

Airport VIP Services -
$151.59

Accompanying
"
165,344,
166,346,")

$789 (security)

Accompanying
"
167,347,")

$789 (security)

Accompanying
"
168,348,")

$789 (security)

Accompanying
"
169,349,")

Traveler 2588.55 723.48 158.49 Translation - $139.71
Visa - $10.38

Airport VIP Services -
$151.59

Accompanying
"
170,363,")
$1619.75 $403.00 $300
Traveler
Accompanying
"
171,364,")
$1619.75 $403.00 $300
Traveler
Accompanying
"
172,366,")
$1619.75 $403.00 $300
Traveler
Accompanying
"
173,380,")
Traveler

Interpretation: $374
$4,546 $1 1380 $672 Photography: $384
Hotel Conference Rooms: $98
M&IE: $55

Accompanying
"
174,381,")
Traveler

Interpretation: $374
$4,546 $1 1380 $672 Photography: $384
Hotel Conference Rooms: $98
M&IE: $55

Accompanying
"
175,382,")
Traveler

Interpretation: $374
$4,546 $1 1380 $672 Photography: $384
Hotel Conference Rooms: $98
M&IE: $55

Accompanying
"
176,383,")

Interpretation: $301
$4,320 $1 1380 $668 Photography: $434
Hotel Conference Rooms: $120
M&IE: $53

Traveler

Accompanying
"
177,384,")

Interpretation: $301
$4,320 $1 1380 $668 Photography: $434
Hotel Conference Rooms: $120
M&IE: $53

Traveler

Accompanying
"
178,385,")

Interpretation: $301
$4,320 $1 1380 $668 Photography: $434
Hotel Conference Rooms: $120
M&IE: $53

Traveler

Accompanying
"
179,386,")
Traveler

Interpretation: $374
$4,546 $1 1380 $672 Photography: $384
Hotel Conference Rooms: $98
M&IE: $55

Accompanying
"
180,387,")
Traveler

Interpretation: $374
$4,546 $1 1380 $672 Photography: $384
Hotel Conference Rooms: $98
M&IE: $55

Accompanying
"
181,399,")

$8189 $1,844: AV, mtg.
space, visa, security,
conference services

$7689 $0 $288 $1,844: AV, mtg.
space, visa, security,
conference services

Accompanying
"
182,407,Error making sandwich
183,409,")
Traveler i
Interpretation: $374
$2,409 $1,210 $760 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
184,410,")
Traveler i
Interpretation: $374
$2,409 $1,210 $760 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
185,411,")
Traveler i
Interpretation: $374
$2,409 $1,210 $616 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
186,412,")
Traveler i
Interpretation: $374
$2,409 $1,210 $616 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
187,413,")
Traveler i
Interpretation: $374
$2,409 $1,210 $616 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
188,414,Error making sandwich
189,415,Error making sandwich
190,416,Error making sandwich
191,417,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
192,418,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
193,419,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
194,420,Error making sandwich
195,421,Error making sandwich
196,422,Error making sandwich
197,423,")
Traveler

—
$2,422 $1,210 $753 ereretaton

Hotel Conference Rooms:
$120

Accompanying
"
198,424,")
Traveler

—
$2,422 $1,210 $753 ereretaton

Hotel Conference Rooms:
$120

Accompanying
"
199,425,")
Traveler

—
$2,422 $1,210 $753 ereretaton

Hotel Conference Rooms:
$120

Accompanying
"
200,432,")
Traveler i
Interpretation: $282
$3,552 $736 $361 Photography: $210
Hotel Conference Rooms: $98
Accompanying

"
201,433,")
Traveler i
Interpretation: $282
$3,552 $736 $361 Photography: $210
Hotel Conference Rooms: $98
Accompanying

"
202,434,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
203,435,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
204,436,")
Traveler i
Interpretation: $282
$3,552 $736 $361 Photography: $210
Hotel Conference Rooms: $98
Accompanying

"
205,437,")
Traveler i
Interpretation: $374
$3,926 $1,310 $611 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
206,438,")
Traveler i
Interpretation: $374
$3,926 $1,310 $611 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
207,439,")
Traveler

Interpretation: $301
$3 1939 $1 298 $604 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
208,440,")
Traveler i
Interpretation: $374
$2,409 $1,210 $607 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
209,441,")
Traveler

Interpretation: $301
$3 1939 $1 298 $604 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
210,442,")
Traveler i
Interpretation: $374
$2,409 $1,210 $607 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
211,443,")
Traveler

Interpretation: $301
$3 1939 $1 298 $604 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
212,444,")
Traveler

Interpretation: $301
$2,422 $1,210 $633 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
213,445,")
Traveler i
Interpretation: $374
$2,409 $1,210 $760 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
214,446,")
Traveler

Interpretation: $301
$2,422 $1,210 $633 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
215,447,")
Traveler i
Interpretation: $374
$3,926 $1,310 $611 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
216,448,")
Traveler i
Interpretation: $374
$2,409 $1,210 $760 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
217,449,")
Traveler

Interpretation: $301
$2,422 $1,210 $633 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
218,450,")
Traveler i
Interpretation: $374
$3,926 $1,310 $611 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
219,451,")
Traveler

Interpretation: $301
$2,422 $1,210 $601 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
220,452,")
Traveler i
Interpretation: $374
$3,926 $1,310 $611 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
221,453,")
Traveler

Interpretation: $301
$2,422 $1,210 $601 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
222,454,")
Traveler

Interpretation: $301
$2,422 $1,210 $601 Photography: $434
Hotel Conference Rooms:
$120

Accompanying
"
223,455,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
224,456,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
225,457,")
Traveler i
Interpretation: $374
$2,409 $1,210 $607 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
226,458,")
Traveler i
Interpretation: $374
$4,955 $1,545 $813 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
227,459,")
Traveler i
Interpretation: $374
$2,409 $1,210 $607 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
228,460,")
Traveler i
Interpretation: $374
$2,409 $1,210 $607 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
229,461,")

$1,844: AV, mtg.

$10,783 space, visa, security,
conference services

Accompanying $0 $288 $1,844: AV, mtg.

"
230,462,Error making sandwich
231,463,Error making sandwich
232,464,Error making sandwich
233,465,Error making sandwich
234,466,Error making sandwich
235,467,")
Traveler i
Interpretation: $374
$2,409 $1,210 $760 Photography: $384
Hotel Conference Rooms: $98
Accompanying

"
236,468,Error making sandwich
237,469,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
238,470,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
239,471,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
240,472,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
241,473,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
242,474,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
243,475,")

$2,050 ($1,500 for round 1 $2,940 ($2,100 in |$1,238 ($900 in |$700 (guides, entry

trip international flights, . . A
$550 for bus transportation | Herzliya, $840 in Herzliya, $338

to and from the airport and .
between sites in Israel) Jerusalem) in Jerusalem)

Accompanying
"
244,476,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
245,477,")

Traveler $2,050 ($1,500 for round 1$ 9.940 ($2,100 in }$1,238 ($900 in |$700 (guides, entry

trip international flights,

$550 for bus transportation |Herzliya, $840 in Herzliya, $338 fees)

to and from the airport and Jerusalem) in Jerusalem)
between sites in Israel)

Accompanying
"
246,478,")

$11,670 $1,844: AV, mtg.
space, visa, security,
conference services

A -
"
247,479,")

$12,209 ; $1,844: AV, mtg.
space, visa, security,
conference services

A -
"
248,480,Error making sandwich
249,481,")

$1,844: AV, mtg.
space, visa, security,

conference services

Accompanying $1,844: AV, mtg.
"
250,482,")

pee $10,000 $1,844: AV, mtg.
space, visa, security,
conference services

Accompanying
"
251,483,")
Traveler
$10,550 $1,305 $288 $1,844: AV, mtg.
space, visa, security,
conference services
Accompanying

"
252,484,Error making sandwich
253,485,")

$12,419 $1,844: AV, mig.
space, visa, security,
conference services

$11,919 $0 $288 $1,844: AV, mtg.
space, visa, security,
conference services

Accompanying
"
254,486,")

$11,184 $1,844: AV, mtg. —
space, visa, security,
conference services

$10,684 $0 $288 $1,844: AV, mig.
space, visa, security,
conference services

Accompanying
"
255,487,error
256,488,")

$12,147 $1,844: AV, mtg.
space, visa, security,
conference services

A -
"
257,489,")

$10,570 $1,844: AV, mtg.
space, visa, security,
conference services

$9,634 $0 $288 $1,844: AV, mig.
space, visa, security,
conference services

Accompanying
"
258,490,")

$10,029 $1,844: AV, mtg.
space, visa, security,
conference services

A -
"
259,491,")

$12,684 $1,844: AV, mig.
space, visa, security,
conference services

$12,184 $0 $288 $1,844: AV, mtg.
space, visa, security,
conference services

Accompanying
"
260,584,")
Traveler $2,050 ($1,500 for round j j i
trip international flights, $1 :680 (in $720 Ain $700 (guides, entry
$550 for bus transportation |Herzliya) Herzliya) fees)

to and from the airport and
between sites in Israel)

Accompanying
"
261,585,Error making sandwich
262,586,")

Traveler $2155.50 : $175.45 (enterance
fees - $50, insurance -
$80, beverages and bus
snacks -$45.45)

Accompanying
"
263,590,")

Traveler $7,796.72 $2,260.24 $1,614.28 $3,148.21

Accompanying |n/a n/a n/a nla
"
